Age,Education,Income,Occupation,Gender,Marital Status,Settlement Size,component 1,component 2,component 3,Segment PCA
67,2,124670,1,1,0,2,2.5147459290711978,0.8341223865739729,2.174805904238915,3
22,1,150773,1,0,1,2,0.34493527739844215,0.5981456362864235,-2.211602790310864,0
49,1,89210,0,1,0,0,-0.6510626672489153,-0.6800931775067847,2.280418598419727,2
45,1,171565,1,1,0,1,1.7143162580925302,-0.5799265044202501,0.7307310859504096,1
53,1,149031,1,1,0,1,1.626744546735702,-0.44049552509045925,1.2449088848402623,1
35,1,144848,0,1,0,0,-0.2747336476686186,-0.8710700778173768,1.3101518372044825,2
53,1,156495,1,1,0,1,1.729503710398148,-0.4160689587259409,1.212454125275273,1
35,1,193621,2,1,0,1,2.5103773413515302,-0.7512564130560768,-0.5049165465040116,1
61,2,151591,0,1,1,0,0.41989134083273855,1.936114811796186,2.209117474119045,3
28,1,174646,2,1,1,0,1.0987288359811143,0.1111312946779325,-1.3065614874790534,1
25,1,108469,1,0,1,0,-1.2983141563589287,0.7110800056355019,-1.1435911988218124,0
24,1,127596,1,0,1,0,-1.0628195079369918,0.747027795069075,-1.2787832042557759,0
22,1,108687,1,0,1,2,-0.23447551599621347,0.4604156695102891,-2.028605602334957,0
60,2,89374,0,1,0,0,-0.08108348107489984,0.6805625802045273,3.311599643296578,2
28,1,102899,1,0,1,1,-0.7193326961002388,0.687073987755731,-1.3272948341009538,0
32,1,88428,0,0,1,0,-2.1501318966210103,0.809063401363859,-0.07277866384891593,0
53,1,125550,1,1,0,0,0.7313068886063125,-0.43162057311231883,1.7110048094014447,2
25,0,157434,1,1,0,2,1.2737233676706574,-2.3118312451809855,-1.0719361092440853,1
44,2,261952,2,0,1,2,3.5201856565318006,2.6381826646467754,-1.7103637464028174,3
31,0,144657,1,1,0,1,0.6926464937246115,-2.1080450159389765,-0.3402359633841829,1
48,1,118777,1,1,0,1,1.0710655441640207,-0.6727388947852473,1.1163359459444233,1
44,1,147511,1,1,0,1,1.3553249142706163,-0.6852921611531116,0.7832975173835167,1
48,1,89804,0,1,0,0,-0.6707174802626857,-0.7047961858269124,2.22581127399031,2
44,1,134918,1,1,0,2,1.754120815974619,-0.8122223053919215,0.47405756770811014,1
26,1,103667,1,1,1,2,0.4394739346860132,-0.36884348763679703,-1.2104753032125866,1
36,1,71909,0,1,0,0,-1.251074506567989,-1.0831221530504493,1.679327701388609,2
39,1,68264,0,1,1,0,-1.6011767347722863,0.010185002863823822,0.9672738895514349,2
42,2,163025,1,0,1,1,0.7596594019411977,2.3239011918651014,-0.4007653789825758,3
34,1,119307,1,1,0,1,0.6887059261357841,-1.0440613496531643,0.3856882750436831,1
63,2,175882,1,1,0,0,1.9641316341409034,1.0665672514335602,2.4720222261679097,3
36,1,159646,1,1,1,1,0.9163122438825537,0.16654021414629408,-0.569640066143176,1
27,0,120131,1,1,0,1,0.2436592056503538,-2.294896101783561,-0.44169072441677426,1
30,0,162745,1,1,0,2,1.4860044844930884,-2.1612159361547647,-0.8349067035972356,1
57,2,87605,0,1,0,0,-0.1889356197632297,0.594832609751059,3.163218030567723,2
33,1,155569,2,0,1,1,0.9156895406443276,1.0156348106998403,-1.9156897701364801,0
25,0,104505,0,1,0,0,-1.3700367847058648,-2.3365680616055955,0.5057005253020747,2
31,0,143385,1,1,0,2,1.2473020540329214,-2.1979262376412487,-0.6987015739699922,1
37,1,127676,1,1,0,1,0.8874222770658265,-0.9367323253403953,0.5053719492504422,1
37,1,119276,1,1,0,1,0.7717769160309192,-0.9642220302522325,0.5418965982785652,1
24,0,92542,1,1,0,1,-0.2196647451714655,-2.4651241890017492,-0.4778025231091838,1
30,0,163329,2,1,0,1,1.692612346292128,-2.0506270400463946,-1.0929487904254402,1
26,1,130921,1,1,1,0,-0.32964708221958755,-0.1082154956165962,-0.6009874245986973,0
44,1,133658,0,1,0,0,-0.17829646029325633,-0.6678679833534691,1.8270284771787813,2
