,customer_id,date,quantity,price
0,1,1997-01-01,1,11.77
1,2,1997-01-12,1,12.0
2,2,1997-01-12,5,77.0
3,3,1997-01-02,2,20.76
4,3,1997-03-30,2,20.76
5,3,1997-04-02,2,19.54
6,3,1997-11-15,5,57.45
7,3,1997-11-25,4,20.96
8,3,1998-05-28,1,16.99
9,4,1997-01-01,2,29.33
10,4,1997-01-18,2,29.73
11,4,1997-08-02,1,14.96
12,4,1997-12-12,2,26.48
13,5,1997-01-01,2,29.33
14,5,1997-01-14,1,13.97
15,5,1997-02-04,3,38.9
16,5,1997-04-11,3,45.55
17,5,1997-05-31,3,38.71
18,5,1997-06-16,2,26.14
19,5,1997-07-22,2,28.14
20,5,1997-09-15,3,40.47
21,5,1997-12-08,4,46.46
22,5,1997-12-12,3,40.47
23,5,1998-01-03,3,37.47
24,6,1997-01-01,1,20.99
25,7,1997-01-01,2,28.74
26,7,1997-10-11,7,97.43
27,7,1998-03-22,9,138.5
28,8,1997-01-01,1,9.77
29,8,1997-02-13,1,13.97
30,8,1997-06-17,3,45.29
31,8,1997-07-03,2,36.76
32,8,1997-11-16,1,2.99
33,8,1997-11-16,7,50.43
34,8,1997-12-25,1,13.99
35,8,1998-03-29,2,24.46
36,9,1997-01-01,2,23.54
37,9,1997-05-13,2,30.33
38,9,1998-06-08,2,41.98
39,10,1997-01-21,3,39.31
40,11,1997-01-01,1,13.49
41,11,1997-01-28,1,19.3
42,11,1997-03-17,1,12.77
43,11,1998-02-20,1,12.99
44,12,1997-01-01,4,57.06
45,13,1997-01-01,4,72.94
46,14,1997-01-01,2,29.92
47,15,1997-01-01,4,52.87
48,16,1997-01-01,1,9.77
49,16,1997-07-13,2,31.6
50,16,1997-07-26,4,28.51
51,16,1997-09-10,1,9.99
52,17,1997-01-01,5,73.22
53,18,1997-01-04,1,14.96
54,19,1997-01-01,10,163.35
55,19,1997-06-10,1,11.77
56,20,1997-01-01,27,363.6
57,20,1997-01-18,19,289.41
58,21,1997-01-01,3,63.34
59,21,1997-01-13,1,11.77
60,22,1997-01-01,1,14.37
61,23,1997-01-01,2,24.74
62,24,1997-01-01,3,47.28
63,24,1998-01-20,1,10.49
64,25,1997-01-01,2,24.96
65,25,1997-07-18,1,13.9
66,25,1997-08-17,1,12.25
67,25,1997-10-24,1,12.99
68,25,1998-04-17,1,12.99
69,25,1998-05-25,1,10.49
70,25,1998-06-03,3,24.97
71,25,1998-06-08,2,24.98
72,26,1997-01-01,3,42.72
73,26,1997-01-26,3,59.97
74,27,1997-01-07,6,83.41
75,27,1997-01-12,4,52.46
76,28,1997-01-01,3,39.51
77,28,1997-01-27,2,25.74
78,28,1997-03-08,2,25.74
79,29,1997-01-01,3,46.72
80,29,1997-02-06,3,67.31
81,29,1997-03-09,3,41.1
82,29,1997-04-05,3,44.52
83,29,1997-04-20,1,13.97
84,29,1997-05-04,2,26.14
