CustomerID,Age,Education,Income,Occupation,Gender,Marital Status,Settlement Size
1,67,University,124670,Official,Male,Single,Big City
2,22,High School,150773,Official,Female,Married,Big City
3,49,High School,89210,Unemployed,Male,Single,Small City
4,45,High School,171565,Official,Male,Single,Mid City
5,53,High School,149031,Official,Male,Single,Mid City
6,35,High School,144848,Unemployed,Male,Single,Small City
7,53,High School,156495,Official,Male,Single,Mid City
8,35,High School,193621,Management,Male,Single,Mid City
9,61,University,151591,Unemployed,Male,Married,Small City
10,28,High School,174646,Management,Male,Married,Small City
11,25,High School,108469,Official,Female,Married,Small City
12,24,High School,127596,Official,Female,Married,Small City
13,22,High School,108687,Official,Female,Married,Big City
14,60,University,89374,Unemployed,Male,Single,Small City
15,28,High School,102899,Official,Female,Married,Mid City
16,32,High School,88428,Unemployed,Female,Married,Small City
17,53,High School,125550,Official,Male,Single,Small City
18,25,Unknown,157434,Official,Male,Single,Big City
19,44,University,261952,Management,Female,Married,Big City
20,31,Unknown,144657,Official,Male,Single,Mid City
21,48,High School,118777,Official,Male,Single,Mid City
22,44,High School,147511,Official,Male,Single,Mid City
23,48,High School,89804,Unemployed,Male,Single,Small City
24,44,High School,134918,Official,Male,Single,Big City
25,26,High School,103667,Official,Male,Married,Big City
26,36,High School,71909,Unemployed,Male,Single,Small City
27,39,High School,68264,Unemployed,Male,Married,Small City
28,42,University,163025,Official,Female,Married,Mid City
29,34,High School,119307,Official,Male,Single,Mid City
30,63,University,175882,Official,Male,Single,Small City
31,36,High School,159646,Official,Male,Married,Mid City
32,27,Unknown,120131,Official,Male,Single,Mid City
33,30,Unknown,162745,Official,Male,Single,Big City
34,57,University,87605,Unemployed,Male,Single,Small City
35,33,High School,155569,Management,Female,Married,Mid City
36,25,Unknown,104505,Unemployed,Male,Single,Small City
37,31,Unknown,143385,Official,Male,Single,Big City
38,37,High School,127676,Official,Male,Single,Mid City
39,37,High School,119276,Official,Male,Single,Mid City
40,24,Unknown,92542,Official,Male,Single,Mid City
41,30,Unknown,163329,Management,Male,Single,Mid City
42,26,High School,130921,Official,Male,Married,Small City
43,44,High School,133658,Unemployed,Male,Single,Small City
44,24,High School,155104,Official,Male,Married,Mid City
45,58,University,142335,Unemployed,Female,Married,Mid City
46,35,High School,138387,Management,Female,Married,Mid City
47,39,High School,140182,Official,Male,Single,Small City
48,23,High School,65421,Unemployed,Female,Married,Small City
49,39,High School,130500,Unemployed,Male,Single,Small City
50,28,High School,122831,Official,Female,Married,Small City
