,Tenure,MonthlyCharges,TotalCharges,Churn,Gender_Male,SeniorCitizen_Yes,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,1,29.85,29.85,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1,34,56.95,1889.5,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
2,2,53.85,108.15,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
3,45,42.3,1840.75,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
4,2,70.7,151.65,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
5,8,99.65,820.5,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0
6,22,89.1,1949.4,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0
7,10,29.75,301.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8,28,104.8,3046.05,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0
9,62,56.15,3487.95,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
10,13,49.95,587.45,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
11,16,18.95,326.8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
12,58,100.35,5681.1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0
13,49,103.7,5036.3,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0
14,25,105.5,2686.05,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0
15,69,113.25,7895.15,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0
16,52,20.65,1022.95,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
17,71,106.7,7382.25,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0
18,10,55.2,528.35,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
19,21,90.05,1862.9,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0
20,1,39.65,39.65,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
21,12,19.8,202.25,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
22,1,20.15,20.15,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
23,58,59.9,3505.1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0
24,49,59.6,2970.3,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
25,30,55.3,1530.6,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
26,47,99.35,4749.15,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0
27,1,30.2,30.2,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
28,72,90.25,6369.45,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0
29,17,64.7,1093.1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
30,71,96.35,6766.95,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0
31,2,95.5,181.65,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0
32,27,66.15,1874.45,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1
33,1,20.2,20.2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,1,45.25,45.25,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,72,99.9,7251.7,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0
36,5,69.7,316.9,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
37,46,74.8,3548.3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
38,34,106.35,3549.25,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0
39,11,97.85,1105.4,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
40,10,49.55,475.7,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
41,70,69.2,4872.35,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0
42,17,20.75,418.25,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
43,63,79.85,4861.45,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0
44,13,76.2,981.45,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0
45,49,84.5,3906.7,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0
46,2,49.25,97.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
47,2,80.65,144.15,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
48,52,79.75,4217.8,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0
49,69,64.15,4254.1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0
50,43,90.25,3838.75,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0
51,15,99.1,1426.4,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0
52,25,69.5,1752.65,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0
53,8,80.65,633.3,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0
54,60,74.85,4456.35,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0
55,18,95.45,1752.55,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0
56,63,99.65,6311.2,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0
57,66,108.45,7076.35,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0
58,34,24.95,894.3,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
59,72,107.5,7853.7,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0
60,47,100.5,4707.1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0
61,60,89.9,5450.7,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
62,72,42.1,2962.0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
63,18,54.4,957.1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0
64,9,94.4,857.25,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0
65,3,75.3,244.1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0
66,47,78.9,3650.35,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0
67,31,79.2,2497.2,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1
68,50,20.15,930.9,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
69,10,79.85,887.35,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
70,1,49.05,49.05,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
71,52,20.4,1090.65,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
72,64,111.6,7099.0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0
73,62,24.25,1424.6,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
74,3,64.5,177.4,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
75,56,110.5,6139.5,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0
76,46,55.65,2688.85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
77,8,54.65,482.25,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
78,30,74.75,2111.3,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0
79,45,25.9,1216.6,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
80,1,79.35,79.35,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
81,11,50.55,565.35,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
82,7,75.15,496.9,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
83,42,103.8,4327.5,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0
84,49,20.15,973.35,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
85,9,99.3,918.75,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0
86,35,62.15,2215.45,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
87,48,20.65,1057.0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
88,46,19.95,927.1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
89,29,33.75,1009.25,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
90,30,82.05,2570.2,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
91,1,74.7,74.7,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
92,66,84.0,5714.25,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1
